id,name,core_id,tree,type,game
90220,Massive Constitution,90226,Plot Skill (Constitution),Skill,dao
90221,Massive Cunning,90227,Plot Skill (Cunning),Skill,dao
90222,Massive Willpower,90228,Plot Skill (Willpower),Skill,dao
90223,Massive Magic,90229,Plot Skill (Magic),Skill,dao
90224,Core Strength,,Plot Skill (Strength),Skill,dao
90225,Core Dexterity,,Plot Skill (Dexterity),Skill,dao
90226,Core Constitution,,Plot Skill (Constitution),Skill,dao
90227,Core Cunning,,Plot Skill (Cunning),Skill,dao
90228,Core Willpower,,Plot Skill (Willpower),Skill,dao
90229,Core Magic,,Plot Skill (Magic),Skill,dao
100001,Deft Hands,4020,Rogue,Talent,dao
100002,Improved Tools,4020,Rogue,Talent,dao
100003,Mechanical Expertise,4020,Rogue,Talent,dao
100004,Device Mastery,4020,Rogue,Talent,dao
100011,Coercion,4001,Skill Tree,Skill,dao
100012,Improved Coercion,4001,Skill Tree,Skill,dao
100013,Expert Coercion,4001,Skill Tree,Skill,dao
100014,Master Coercion,4001,Skill Tree,Skill,dao
100021,Stealing,4002,Skill Tree,Skill,dao
100022,Improved Stealing,4002,Skill Tree,Skill,dao
100023,Expert Stealing,4002,Skill Tree,Skill,dao
100024,Master Stealing,4002,Skill Tree,Skill,dao
100041,Trap-Making,4002,Skill Tree,Skill,dao
100042,Improved Trap-Making,4002,Skill Tree,Skill,dao
100043,Expert Trap-Making,4002,Skill Tree,Skill,dao
100044,Master Trap-Making,4002,Skill Tree,Skill,dao
100051,Survival,4002,Skill Tree,Skill,dao
100052,Improved Survival,4002,Skill Tree,Skill,dao
100053,Expert Survival,4002,Skill Tree,Skill,dao
100054,Master Survival,4002,Skill Tree,Skill,dao
100061,Herbalism,4002,Skill Tree,Skill,dao
100062,Improved Herbalism,4002,Skill Tree,Skill,dao
100063,Expert Herbalism,4002,Skill Tree,Skill,dao
100064,Master Herbalism,4002,Skill Tree,Skill,dao
100071,Poison-Making,4002,Skill Tree,Skill,dao
100072,Improved Poison-Making,4002,Skill Tree,Skill,dao
100073,Expert Poison-Making,4002,Skill Tree,Skill,dao
100074,Master Poison-Making,4002,Skill Tree,Skill,dao
100075,Stealth,4020,Rogue,Talent,dao
100076,Stealthy Item Use,4020,Rogue,Talent,dao
100077,Combat Stealth,4020,Rogue,Talent,dao
100078,Master Stealth,4020,Rogue,Talent,dao
100080,Golem Form,,Plot skill (Fade),Skill,dao
100081,Mouse Form,,Plot skill (Fade),Skill,dao
100083,Burning Man Form,,Plot skill (Fade),Skill,dao
100084,Spirit Form,,Plot skill (Fade),Skill,dao
100100,Combat Training,4002,Skill Tree,Skill,dao
100101,Improved Combat Training,4002,Skill Tree,Skill,dao
100102,Expert Combat Training,4002,Skill Tree,Skill,dao
100103,Master Combat Training,4002,Skill Tree,Skill,dao
100110,Combat Tactics,4002,Skill Tree,Skill,dao
100111,Improved Combat Tactics,4002,Skill Tree,Skill,dao
100112,Expert Combat Tactics,4002,Skill Tree,Skill,dao
100113,Master Combat Tactics,4002,Skill Tree,Skill,dao
200254,Arcane Bolt,4023,Mage,Spell,dao
200255,Arcane Shield,4023,Mage,Spell,dao
200256,Staff Focus,4023,Mage,Spell,dao
200257,Arcane Mastery,4023,Mage,Spell,dao
300100,Pulverising Blows,4033,Shale,Talent,dao
300101,Slam,4033,Shale,Talent,dao
300102,Quake,4033,Shale,Talent,dao
300103,Killing Blow,4033,Shale,Talent,dao
300200,Stoneheart,4033,Shale,Talent,dao
300201,Bellow,4033,Shale,Talent,dao
300202,Stone Roar,4033,Shale,Talent,dao
300203,Regenerating Burst,4033,Shale,Talent,dao
300300,Rock Mastery,4033,Shale,Talent,dao
300301,Hurl Rock,4033,Shale,Talent,dao
300302,Earthen Grasp,4033,Shale,Talent,dao
300303,Rock Barrage,4033,Shale,Talent,dao
300400,Stone Aura,4033,Shale,Talent,dao
300401,Inner Reserves,4033,Shale,Talent,dao
300402,Renewed Assault,4033,Shale,Talent,dao
300403,Supernatural Resilience,4033,Shale,Talent,dao
300500,Shale(Unknown),,Shale,Talent,dao
310010,Dark Sustenance,"310000, 310001, 310002",Power of Blood,Talent,dao
310011,Bloody Grasp,"310000, 310001, 310002",Power of Blood,Talent,dao
310020,Blood Thirst,"310000, 310001, 310002",Power of Blood,Talent,dao
310021,Blood Fury,"310000, 310001, 310002",Power of Blood,Talent,dao
310030,Dark Passage,"310000, 310001, 310002",Power of Blood,Talent,dao
310031,The Tainted Blade,"310000, 310001, 310002",Power of Blood,Talent,dao
400000,Second Wind,4022,Warrior,Talent,dao
400001,Peon's Plight,4022,Warrior,Talent,dao
400002,Grievous Insult,4022,Warrior,Talent,dao
400003,Massacre,4022,Warrior,Talent,dao
400100,Fade Shield,4023,Mage,Spell,dao
400101,Elemental Mastery,4023,Mage,Spell,dao
400102,Attunement,4023,Mage,Spell,dao
400103,Time Spiral,4023,Mage,Spell,dao
400110,Repulsion Field,4023,Mage,Spell,dao
400111,Invigorate,4023,Mage,Spell,dao
400112,Arcane Field,4023,Mage,Spell,dao
400113,Mystical Negation,4023,Mage,Spell,dao
400200,Heartseeker,4020,Rogue,Talent,dao
400201,Ghost,4020,Rogue,Talent,dao
400202,Weak Points,4020,Rogue,Talent,dao
400203,Flicker,4020,Rogue,Talent,dao
401000,Spirit Warrior,,Warrior Specialization,Talent,dao
401001,Guardian,,Warrior Specialization,Talent,dao
401002,Keeper,,Mage Specialization,Spell,dao
401003,Battlemage,,Mage Specialization,Spell,dao
401004,Legionnaire Scout,,Rogue Specialization,Talent,dao
401005,Shadow,,Rogue Specialization,Talent,dao
401100,Beyond the Veil,401000,Spirit Warrior,Talent,dao
401101,Soulbrand,401000,Spirit Warrior,Talent,dao
401102,Fade Burst,401000,Spirit Warrior,Talent,dao
401103,Blessing of the Fade,401000,Spirit Warrior,Talent,dao
401110,Guardian's Shield,401001,Guardian,Talent,dao
401111,Fortifying Presence,401001,Guardian,Talent,dao
401112,Master Guardian,401001,Guardian,Talent,dao
401113,Aura of the Stalwart Defender,401001,Guardian,Talent,dao
401200,One With Nature,401002,Keeper,Spell,dao
401201,Thornblades,401002,Keeper,Spell,dao
401202,Replenishment,401002,Keeper,Spell,dao
401203,Nature's Vengeance,401002,Keeper,Spell,dao
401210,Draining Aura,401003,Battlemage,Spell,dao
401211,Hand of Winter,401003,Battlemage,Spell,dao
401212,Stoic,401003,Battlemage,Spell,dao
401213,Elemental Chaos,401003,Battlemage,Spell,dao
401300,Mark of the Legion,401004,Legionnaire Scout,Talent,dao
401301,Strength of Stone,401004,Legionnaire Scout,Talent,dao
401302,Endure Hardship,401004,Legionnaire Scout,Talent,dao
401303,Blessing of the Ancestors,401004,Legionnaire Scout,Talent,dao
401310,Shadow Form,401005,Shadow,Talent,dao
401311,Decoy,401005,Shadow,Talent,dao
401312,Shadow Striking,401005,Shadow,Talent,dao
401313,Pandemonium,401005,Shadow,Talent,dao
402000,Accuracy,"4020, 4022",Archery,Talent,dao
402001,Arrow Time,"4020, 4022",Archery,Talent,dao
402002,Burst Shot,"4020, 4022",Archery,Talent,dao
402003,Rain of Arrows,"4020, 4022",Archery,Talent,dao
402100,Twin Strikes,"4020, 4022",Dual Weapon,Talent,dao
402101,Find Vitals,"4020, 4022",Dual Weapon,Talent,dao
402102,Low Blow,"4020, 4022",Dual Weapon,Talent,dao
402103,Unending Flurry,"4020, 4022",Dual Weapon,Talent,dao
402200,Sweeping Strike,4022,Two-Handed,Talent,dao
402201,Two-Handed Impact,4022,Two-Handed,Talent,dao
402202,Onslaught,4022,Two-Handed,Talent,dao
402203,Reaving Storm,4022,Two-Handed,Talent,dao
402300,Juggernaut,4022,Weapon and Shield,Talent,dao
402301,Carapace,4022,Weapon and Shield,Talent,dao
402302,Air of Insolence,4022,Weapon and Shield,Talent,dao
402303,Bulwark of the Ages,4022,Weapon and Shield,Talent,dao
410000,Runecrafting,4002,Skill Tree,Skill,dao
410001,Improved Runecrafting,4002,Skill Tree,Skill,dao
410002,Expert Runecrafting,4002,Skill Tree,Skill,dao
410003,Master Runecrafting,4002,Skill Tree,Skill,dao
410100,Vitality,4002,Skill Tree,Skill,dao
410101,Improved Vitality,4002,Skill Tree,Skill,dao
410102,Expert Vitality,4002,Skill Tree,Skill,dao
410103,Master Vitality,4002,Skill Tree,Skill,dao
410200,Clarity,4002,Skill Tree,Skill,dao
410201,Improved Clarity,4002,Skill Tree,Skill,dao
410202,Expert Clarity,4002,Skill Tree,Skill,dao
410203,Master Clarity,4002,Skill Tree,Skill,dao
